"id","created_time","message"
"449664581882455_544118105770435","2016-04-22T10:19:45+0000","「改善汐止交通、進擊的新匝道」公聽會 直播網址：http://youtu.be/nTSVnr2CS_o 交通問題是汐止長久而且棘手的民生議題，國道一號汐止交通系統壅塞更是市民的關注議題之一。國昌身為在地汐止人深刻地體會到此問題若無法解決，汐止的交通黑暗期會持續下去，我們必須邀請政府機關、民意代表、各領域代表共商對策，解決市民的痛苦，攜手迎向美好的未來！為此，立法委員黃國昌將於2016年4月29日星期五19:30至21:00，假新北市汐止區公所舉辦「改善汐止交通、進擊的新匝道」公聽會，誠摯邀請您蒞臨指導。 一、時間：2016年4月29日(星期五)下午7時30至9時（7點入場） 二、地點：新北市汐止區公所11樓大禮堂 (新北市汐止區新台五路一段268號 ) 三、公聽會邀請機關： 行政院交通部高速公路局 四、公聽會討論之議題： (一) 國道一號汐止系統車流現況與困難。 (二) 解決國道一號汐止系統塞車對策。 五、公聽會報名網址： http://goo.gl/forms/gsPwl0gcrW"
"449664581882455_543717089143870","2016-04-21T09:42:41+0000","台灣在推動轉型正義中，無論是過去國家機器對人權侵害，甚至是司法扮演幫兇，這部分的責任與歷史的真相都要還原。時代力量版本更將訴求涵蓋至原住民族權利的回復、拉長歷史縱深...等。 轉型正義的路上，國昌始終相信「只要繼續前進，理想就在不遠處」。"
"449664581882455_543311935851052","2016-04-20T09:57:02+0000","【法務部急電中國公安機場帶人？】司法法制委員會2016-04-20 陸委會、調查局及相關部會今天(20日)證實，曾聽中國公安部處長宮艷萍表示「法務部曾在飛機起飛前20分鐘通知他們到機場帶人」，但因為他們還要走各種固定的程序，20分鐘前才通知讓他們很難處理。 立法委員黃國昌： 法務部長羅瑩雪前天(18日)再一次地強調，說自己絕對沒有，相信部裡同仁也沒有通知中國到機場帶人，所以現在只有兩個可能性，第一個可能性是中國公安部處長宮艷萍說謊，那他說謊的目的是什麼？是要挑撥我國政府部門彼此之間的信任感嗎？ 外交部、陸委會在發生相關事件時先做進一步營救，卻有人通知中國公安部到機場帶人，如果宮艷萍說的是真的，那這件事情很大條；如果他說的事情是假的，那宮艷萍是挑撥我們行政部門內部。若法務部繼續否認，那我們可以繼續地追下去。 ◆感謝網友提供逐字稿 http://goo.gl/zjSCtc"
"449664581882455_542771012571811","2016-04-19T09:00:00+0000","【中崙高中參訪座談會】2016-04-19 今天早上，中崙高中的同學們來到了立法院進行參訪，並與國昌座談，分享了同學們對於立法委員，以及台灣的公民參與有什麼看法。 座談過程中，同學們第一次嘗試站上質詢台，雖略帶生澀，卻表達了許多屬於年輕世代的看法以及見解，包括經濟、司法主權等重要議題，思考邏輯相當清晰，展現出對整個台灣社會的高度關懷。國昌也對這些長期關心的議題盡力說明，與同學們交流了彼此的想法。 透過這次難得的機會，讓國昌感受到年輕朋友的活力與希望。期許自己和國會的同仁們，能夠更加努力，為下一代打造更好的未來。"
"449664581882455_542746999240879","2016-04-19T05:19:18+0000","【肯亞案質詢法務部長羅瑩雪】司法法制委員會第2輪發言2016-04-18 法務部新聞稿「自己錯了還怪人」指誰？ 羅部長表示有許多說法是她「個人的想法」和「PTT資料」。 立法委員黃國昌：「身為立法委員當然可受公開檢視，質詢內容中若有哪部分有錯誤，請『具體』點出來，我們都是法律人，要指稱別人有什麼錯誤，要具體的講；羅部長應該具體說明哪部分不合理，如果只是泛稱錯了還怪別人，這好像不是理性討論問題的方式。」 ◆感謝網友提供逐字稿 http://goo.gl/iA1OnH"
"449664581882455_542449039270675","2016-04-18T11:09:57+0000","【肯亞案質詢法務部長羅瑩雪】司法法制委員會2016-04-18 立法委員黃國昌：在正當法律程序下打擊犯罪，這才是全民期待。 目前最大的問題在於人回來了，相關調查證據全遭送往中國，沒有一併送回來，導致檢警後續偵查無法進行。為何中國違反過去原則沒有移送卷證？我國相關單位是否有向中國、馬來西亞及菲律賓要求提供卷證？或根本沒要求？不提供卷證的理由又是什麼？ 今年年初的菲律賓案，是誰跟中國公安部聯絡？有沒有說人可以讓他們帶走？請相關部會清楚說明，確保未來針對類似案件的處理，政府對外只有一種聲音。 ◆感謝網友提供逐字稿 http://goo.gl/II7M7X"
"449664581882455_541341279381451","2016-04-15T12:34:12+0000","【最低工資法制】會後新聞稿 2016-04-15 時代力量立法委員黃國昌與洪慈庸今(15)下午針對「最低工資法制化」於立法院會議室聯合召開公聽會，政治大學法律學系副教授林佳和、台灣勞工陣線秘書長孫友聯、台灣大學國家發展研究所副教授辛炳隆、景文科技大學通識教育中心助理教授李岳牧、中華民國全國工業總會常務理事何語、大同公司關係企業工會林進勇副理事長、台北市產業總工會理事長鄭雅慧及總幹事陳淑綸，勞動部勞動條件及就業平等司亦派員到場參與。 立法委員黃國昌表示，時代力量在去年投入國會選舉過程中，有關勞工權益保障部分，提出過相當完整的政策訴求，到目前為止關於勞工權益的保障上，除了支持公開發行股票上市櫃公司設置勞工董事之外，也針對勞工面臨不當勞動行為裁決機制進一步補強充實，提出了相關的修正法；接下來希望在五一勞動節之前能正式推出最低工資法草案。 立法委員洪慈庸表示，最低工資法是時代力量選前的重要政見之一，不管是在法律面及薪資調幅標準，都是頗令大眾詬病；尤其從1997到2007十年間卻幾乎沒有調漲過薪資，但是調漲的幅度是否合理、能否符合物價波動，都是一個很大的問題；最低工資法制化後，未來在調整薪資的過程中，都能用制定詳盡的法令為依據。 政治大學法律學系副教授林佳和則提出制定專法的必要性、訂定標準、審議程序以及適用範圍與特殊最低工資。林佳和表示，提高最低工資並不會帶來失業，歐洲經濟學會也曾提出「最低工資應為各國平均至少50%水準」的主張，包括英法荷德等歐盟國家都已經訂定最低工資立法。林佳和說，最低工資立法應該要有一個明確的方向，應該要蒐集各國經驗，建立攸關實體與程序、執行與監督之完整規範，才能達到保障勞工權益。 台灣勞工陣線秘書長孫友聯說，這幾年勞工團體作為主張基本工資大幅提高的立場，基本工資從1984年迄今，終於在2015年七月份超過2萬08元，這是非常很諷刺的事，最低基本工資變成了壓低台灣薪資的緊箍咒；關於制定標準及應有公式，未來也應該要有一些相關的討論。 台灣大學國家發展研究所副教授辛炳隆認為，基本工資必須要適度提升，一般制定基本工資是把勞動生產力、經濟成長力納入考量，工資要隨著物價調漲而調漲，並保障勞動者的基本生活所需。辛炳隆說，台灣雖然幅員不大，但最低生活費卻落差很大，例如台北和高雄就差很多，認為基本工資分區是可以討論的方向。 中華民國工業總會常務理事何語則談到，基本工資的制定需考量經濟總體條件照顧勞工家庭需要。例如北歐國家無訂定基本工資法，用的是福利措施補足。在立法的必要性上，薪資上有一套健全的實施辦法更是重要。政府在其中不應該過度干預勞資雙方協議。若要制定基本工資理應該排除實習生，但何語仍認為訂定專法缺乏彈性，無法適應社會變化，可能阻礙經濟發展。同時何語也不贊成依地區訂定最低工資，工廠地址與營運地分開較易引發爭議，應依各行業別訂定。然而，何語仍認為勞資雙方的溝通在其中是最為重要的，照顧勞工是資方的基本，基於這一條件下雙方一同努力，方是最好的。 大同公司關係企業工會林進勇副理事長說到，馬政府簽訂兩公約後，原本以為可以盡量朝基本工資立法前進，無奈卻無法如願。立法是有其必要性的，同時也要同步落實。在全國一致或分區訂定上，林進勇認為建議應有一套公式，全國採一致標準，地方可做調整，但不能調降。在審議程序上，審議委員產生方式應做全盤性的調整。同工同酬沒有任何的例外方是最低工資法制化的精神所在。 代表勞動部出席今日公聽會的王金蓉專委也在前面專家學者的發言後，做出了回應。她談到，現行審議程序上是由行政院核定，是否要訂公式參考數據進行立法則會和政策目標是有關聯的。適用範圍上，統一或分區標準在世界各國皆有其例，日本美國有各地區基本工資，其他大部分國家則採統一基本工資，美國和英國則屬雇主自願性推動生活工資或是約定在政府採購契約中，各自有所差異。 第二輪的發言中，何語再細談到，建議此一立法應訂專章，專法太細無法具彈性因應變遷。以行業別區分訂立專款，專業別訂立基本工資，較為務實有彈性。何語也再次強調，勞資雙方的協商過程才是關鍵所在。 辛炳隆則認為，第一層次審議程序應為專家學者會議，產生方式由勞資雙方推薦。同時辛炳隆也贊成由中央訂定標準，地方做調整。但若地方覺得執行有困難，應有其配套。辛炳隆反對按照行業別來訂定，此一作法違反勞工最低生活保政立法目的。在國外的立法例中，若以行業別區分，都有團體協商作為配套。 辛炳隆同時也再一次強調審議權責的問題，具體的權責問題需釐清，方能在制訂最低工資法上更為順利。 李岳牧則強調了審議代表的重要性，審議委員的遴聘是否得宜都有待研議修正。行政權或立法權來決定最低工資，或是否由國會組成專責組織審議制定，都成為未來制定最低工資法應謹慎評估的部分。 孫友聯則強調，因明訂最低工資調整的條件，參考最低健康生活標準等，不應只和勞動部有關，應由更高層級決定。世界各國近年來也大幅提高基本工資，正名且落實最低工資法成為了未來必須也一定要做到的部分。明定參考依據、最終決定權、審議委員產生方式之訂定以及審議過程公開透明都是未來需持續努力並一定要做到的部分。 林進勇則說到，勞方委員比例在審議委員會中需做調整，並且應跳脫工會代表框架。最重要的是不能不召開工資審議小組，適時的調整方是對於全體勞工朋友們最大的保障。目前基本工資的施行並無法達到簽署兩公約的施行目標，未來方做全盤的修正以及最低工資法的制定，才能落實兩公約所需的要素。 共同與會的台北市產業總工會陳淑綸總幹事則在最後談到，最低工資法制化是勢在必行的，藉此方能達到保障勞工生活水準的目的。訂定得以保障勞工的工資是國家的責任，切莫如過去先畫靶再射箭的作法，是非常不恰當的。參數公式的制定則能把審議委員該為誰的問題降至最低，一套好的標準方是最重要的部分。也因勞務價值無論在何處都是相同，因此並無法同意分區制定，地方政府若要做調整僅限於政府雇用人員。最低工資法的制定也會和失業給付以及勞保有所連動，更能保障勞工朋友的權益。體現勞動尊嚴，落實勞動保障，程序實質並重是未來社會大眾要一起努力的方向。 黃國昌表示，時代力量今天召開這場公聽會主要目的並非要將單一意見視作唯一意見，而是希望匯集社會大眾的聲音，共同為台灣的勞工朋友們爭取最合理的權益。就如同準總統蔡英文在選舉期間的勞動政策理談到最低工資的制定一般，勞工朋友的權益是需要跨黨派共同努力的。希望透過今天的公聽會能夠取得各界的共識，為未來台灣整體勞動權益的提升盡最大的努力。"
"449664581882455_540850746097171","2016-04-14T07:59:41+0000","【肯亞案質詢法務部長羅瑩雪】司法法制委員會2016-04-14 立法委員黃國昌：今年初菲律賓事件後，也曾發生台人在巴拿馬被送到古巴的案件，在外交部全力營救時，卻因為法務部無法判斷、遲延，後來該名台人跳樓自殺。 令人費解的是，如果法務部的立場，如同今天在國會所表示的，與外交部、陸委會並無不同，就是要把人救回來，那麼法務部到底為何要跟行政院長請示什麼？院長又為何不敢自己裁示，還一路請示到總統？難道就只為了法務部所稱「是否開拘票」的立場不同？ 基本的立場如果不夠清楚的話，當時間一分一秒的過，這次肯亞的事件就可以清楚的看得出來，如果沒有掌握時間接下來會發生什麼事。 ◆感謝網友提供逐字稿 http://goo.gl/5hmD4N ◆相關新聞： →肯亞案翻版? 黃國昌爆:法務部判斷遲延 巴拿馬台人被送古巴跳樓死(民報) http://goo.gl/obPNDE →當面和羅瑩雪對質 黃國昌痛批法務部處事「遲延」(三立) http://goo.gl/bH0EkK →台人遭中國紅色通緝 羅瑩雪:「他就死掉了」(蘋果) http://goo.gl/EaV52r"
"449664581882455_540849969430582","2016-04-14T07:21:23+0000","照片感謝 沃草！（Watchout）提供 攝影：蕭長展 沃草！（Watchout）臉書： https://www.facebook.com/WatchOutTW/ 沃草！（Watchout）網站： http://watchout.tw/"
"449664581882455_540837456098500","2016-04-14T06:47:48+0000","【肯亞案質詢法務部、陸委會及外交部】內政委員會2016-04-14 法務部次長 林輝煌 國際兩岸副司長 戴東麗 陸委會主委 夏立言 外交部次長 侯清山 ◆感謝網友提供逐字稿 http://goo.gl/tSbj8I"
"449664581882455_540441992804713","2016-04-13T07:54:57+0000","【肯亞案質詢陸委會、法務部及外交部】2016-04-13 立法委員黃國昌：「按照肯亞的法律，如果是遣返(deportation)的話，中國憑什麼把人帶回去？在肯亞事件發生以前，有沒有發生過陸委會、外交部在第三國急著救人，而法務部卻是通知中國公安來抓人事件？這是我們的法務部嗎？」 ◆相關新聞： →黃國昌控法務部通報對岸抓人 明天質詢羅瑩雪(蘋果) http://goo.gl/oH2Zrt →一天嗑完肯亞法規 黃國昌嗆官員:都沒掌握是要談判什麼？(三立) http://goo.gl/JGIJan →黃國昌爆:法務部疑通報對岸抓人(自由) http://goo.gl/JGTyjD"
"449664581882455_540390786143167","2016-04-13T04:20:46+0000","【最低工資法制公聽會】 新增公聽會YouTube直播： https://www.youtube.com/watch?v=keHrc4X1zE0 勞工是國家的根本，勞動權益的提升更是國家最重要的議題之一。而今台灣雖有著基本工資的訂定，卻無法使每一位勞工擁有一份得以保障基本生活水準的薪資。長期以來，勞動法學者及專家，不斷地為了勞工能夠擁有一份合理的薪資努力，冀望未來得以全面落實一個友善勞工朋友們的社會。 公聽會報名網址：http://ppt.cc/y0bbV 時間：2016年4月15日(星期五)14時至17時 地點：立法院(台北市中正區中山南路1號)紅樓302會議室 公聽會主持人： 時代力量立法委員黃國昌 時代力量立法委員洪慈庸 公聽會與會專家團體： 國立政治大學法律學系林佳和副教授 台灣勞工陣線孫友聯秘書長 國立台灣大學國家發展研究所辛炳隆副教授 景文科技大學通識教育中心李岳牧助理教授 中華民國全國工業總會何語常務理事 全國產業總工會莊爵安理事長 全國產業總工會戴國榮秘書長 大同公司關係企業工會林進勇副理事長 台北市產業總工會鄭雅慧理事長 台北市產業總工會蔣萬金監事會召集人 台北市產業總工會陳淑綸總幹事 (陸續邀請中) 公聽會討論之議題： 一、 我國是否有訂定最低工資法之必要？ 二、 最低工資之決定應以何為標準？採取全國統一標準或制定分區標準？ 三、 最低工資之決定應採取何種審議程序？由誰為之？ 四、 最低工資之適用應否設立除外條款？（實習生、技術工．．．等）"
"449664581882455_539953306186915","2016-04-12T03:04:51+0000","【中國道歉放人！重啟兩岸司法互助談判】2016-04-12 立法委員黃國昌：「要求政府針對兩岸司法互助協議部分重啟談判，納入人身自由保護機制、雙方相互尊重，對彼此國民採取各自遣返的方式，確保未來類似事件不再發生。」 ◆相關新聞： →時代力量籲協商 邀張善政報告肯亞案(中央社) http://goo.gl/HUrQzy →一中政策錯誤 時代力量建議立院邀張揆報告肯亞事件(風傳媒) http://goo.gl/HrMZCP →時代力量要張善政週五到立院專案報告(蘋果) http://goo.gl/AEoA8j"
"449664581882455_539575756224670","2016-04-11T08:57:27+0000","【請中國停止非法綁架 讓台灣人安全回家】2016-04-11 新增質詢陸委會影片 立法委員黃國昌：「陸委會常對外宣稱兩岸簽署協議的效益有多好，應從此事件的處理開始檢驗兩岸協議具體成效，呼籲陸委會儘速掌握狀況，並公開向國人說明。」 ◆相關新聞： →肯亞8台人竟遭遣中，黃國昌怒批「中國憑什麼把人帶走？」(風傳媒) http://goo.gl/xs1Xkf →台嫌遣中 時代力量批中國：綁架台灣人(蘋果) http://goo.gl/EvpHBy"
"449664581882455_539249206257325","2016-04-10T13:57:28+0000","【汐止金龍湖淨湖行動】2016-04-10 感謝百位里民及志工風雨無阻，一同響應淨湖活動，現場清運超過80大袋垃圾，光是垃圾車就跑了整整兩回！ 未來將持續監督主管機關，直到還給居民乾淨的湖水為止。因為汐止人的夢，就是讓金龍湖更好！ ◆感謝協辦： 湖光里長 黃陳彩雲 湖蓮里長 曾連福 北山里長 林徵熊 新北市警民聯防救援協會 副理事長劉兆華 汐止救助協會 理事長王金泉 新北市樹林水上救生協會 副隊長曾聖宗 新北市搜救協會 總幹事張建章 新北市汐止區清潔隊 ◆相關新聞： 淨湖撈到死魚垃圾 黃國昌轟農委會(民視) http://goo.gl/fEs52c ◆相關影片： 立法院第9屆第1會期 司法及法制、經濟委員會第1次聯席會議 2016-04-07 質詢農委會農田水利處長張敬昌 http://goo.gl/XpsXvd"
"449664581882455_539207122928200","2016-04-10T10:59:36+0000","【時代力量15人決策小組建構完成！】 時代力量今(10)日召開常設委員會第一次會議，8位委員會主席將與主席團的7位主席，組成時代力量黨的最高決策小組，將於週五(15)日舉行第一次決策委員會議，正式完成黨組織建置。 時代力量執行黨主席黃國昌：「創黨之初我們就以開放、透明、參與這樣的信念來自許。非常很感謝黨員、時代之友及所有選民的支持，能夠在選戰中獲得5個席次進入國會，雖然在政黨票的得票結果不如期待，但接下來的目標是成為台灣第二個新生代的本土政黨、邁向第一大在野黨！」 ◆相關新聞： 非黨員也可選！時代力量15人決策小組出爐(自由) http://goo.gl/9fmV78 時代力量15人決策小組到位 目標：成為最大在野黨(風傳媒) http://goo.gl/ewvywN 時代力量15人決策小組出爐 洪慈庸邱顯智入列(蘋果) http://goo.gl/fPfTyX"
"449664581882455_537588389756740","2016-04-07T01:24:18+0000","立法委員黃國昌： 「二十七年前的今天，為了台灣的民主自由，鄭南榕先生奉獻了寶貴的生命。 上午，必須留在立法院出席會議；無法前赴紀念活動。 鄭南榕先生的精神，一直留在許多台灣人的心中，更是我敬仰的領航者。 落實轉型正義、打造正常國家，我們攜手繼續努力。」"
"449664581882455_537264949789084","2016-04-06T03:49:32+0000","【反海外避稅、誰被搓掉了？】2016-04-06 立法委員黃國昌：「反避稅條款2013年就送進財委會，當時財政部長張盛和大聲呼籲要儘速過關，結果拉下黨團協商後，一次都沒開會，最後不了了之。今天時代力量黨團提出『所得稅法修正草案』，希望國民黨別像過去一樣阻撓，應該儘速通過法案，別讓盈餘留海外、虧損留台灣！」 ◆相關新聞： 巴拿馬密件延燒 黃國昌促修法「別債留台灣」！(新頭殼) http://goo.gl/6zVeKj 海外避稅漏洞！ 時代力量要修《所得稅法》反制(ETtoday) http://goo.gl/x4m3gN 巴拿馬文件延燒 黃國昌爆：國民黨擋避稅條款(自由) http://goo.gl/88XKSq"
