,Time,Action,User,Product,Quantity,Price
122,2015-07-01 01:29:39,order,U450954641,P0006740650,1,2790.0
123,2015-07-01 01:29:54,order,U338922570,P0005942915,1,15000.0
124,2015-07-01 01:30:56,order,U465148165,P0022827254,1,599.0
125,2015-07-01 01:34:18,order,U385210425,P0011170972,1,2599.0
126,2015-07-01 01:34:28,order,U33930831,P0022827254,1,599.0
127,2015-07-01 01:35:12,order,U423414670,P0003339652,1,1580.0
128,2015-07-01 01:35:16,order,U442282926,P0014252066,1,1636.0
129,2015-07-01 01:35:42,order,U450946638,P0018741063,1,2649.0
130,2015-07-01 01:36:42,order,U464946854,P0006063702,1,980.0
131,2015-07-01 01:37:07,order,U465147963,P0007146860,1,1190.0
132,2015-07-01 01:38:50,order,U10080558332,P0000163833,1,199.0
133,2015-07-01 01:39:00,order,U302075949,P0024073416,1,221.0
134,2015-07-01 01:39:53,order,U185124713,P0014285736,1,4690.0
135,2015-07-01 01:40:45,order,U130358249,P0014577253,1,8990.0
136,2015-07-01 01:42:14,order,U442283128,P0014252066,1,1636.0
137,2015-07-01 01:42:42,order,U10080398248,P0018287964,1,17000.0
138,2015-07-01 01:43:46,order,U12642630,P0018884960006,1,343.0
139,2015-07-01 01:44:52,order,U302554359,P0003088746,1,800.0
140,2015-07-01 01:45:00,order,U388610468,P0012767322,1,4488.0
141,2015-07-01 01:45:02,order,U361528356,P0013367082,1,1196.0
142,2015-07-01 01:46:40,order,U338922570,P0018700091,2,4488.0
143,2015-07-01 01:46:48,order,U421412468,P0014506470005,1,999.0
144,2015-07-01 01:48:00,order,U302554359,P0003088746,1,800.0
145,2015-07-01 01:48:43,order,U427776328,P0018877062,1,699.0
146,2015-07-01 01:49:25,order,U1001378081,P0006507955,1,360.0
147,2015-07-01 01:49:38,order,U295300454,P0011172210136,1,1500.0
148,2015-07-01 01:50:53,order,U397090414,P0009889390,1,799.0
149,2015-07-01 01:51:08,order,U463716672,P0007292010036,1,3499.0
150,2015-07-01 01:51:18,order,U150532552,P0007552856,1,1050.0
151,2015-07-01 01:52:18,order,U388607034,P0012767322,1,4488.0
152,2015-07-01 01:52:47,order,U427776328,P0022827254,1,599.0
153,2015-07-01 01:54:22,order,U465168437,P0015194056,1,1080.0
154,2015-07-01 01:56:37,order,U150532552,P0007552856,1,1050.0
155,2015-07-01 01:56:38,order,U302554359,P0003088746,1,800.0
156,2015-07-01 01:56:42,order,U162433318,P0014560652,1,849.0
157,2015-07-01 01:56:57,order,U397090414,P0009889386,1,799.0
158,2015-07-01 01:57:46,order,U465162757,P0013832674,1,390.0
159,2015-07-01 01:58:57,order,U346448827,P0002905766,2,279.0
160,2015-07-01 02:00:24,order,U239061169,P0018415865,1,580.0
161,2015-07-01 02:00:51,order,U33017644,P0005926653,1,699.0
162,2015-07-01 02:01:04,order,U204156564,P0006587250014,1,899.0
163,2015-07-01 02:01:07,order,U302554359,P0004109652,1,930.0
164,2015-07-01 02:03:46,order,U125200663,P0022073656,1,21900.0
165,2015-07-01 02:03:47,order,U133670562,P0012770402,1,99.0
166,2015-07-01 02:05:36,order,U12642630,P0007026051,1,799.0
167,2015-07-01 02:07:02,order,U302554359,P0018902063,1,399.0
168,2015-07-01 02:08:40,order,U338922570,P0023728725,2,549.0
169,2015-07-01 02:09:08,order,U154472326,P0000810865,1,1369.0
170,2015-07-01 02:09:58,order,U46488849,P0002502791,1,999.0
171,2015-07-01 02:12:45,order,U151107527,P0023467860006,1,599.0
172,2015-07-01 02:16:42,order,U302554359,P0004047061,1,351.0
173,2015-07-01 02:16:56,order,U220356051,P0023737560,1,998.0
174,2015-07-01 02:17:03,order,U465172376,P0004607050,1,1099.0
175,2015-07-01 02:17:09,order,U268514275,P0017692463,1,230.0
176,2015-07-01 02:17:54,order,U448508364,P0024127200020,1,1566.0
177,2015-07-01 02:21:07,order,U390350567,P0021882162,1,759.0
178,2015-07-01 02:21:36,order,U420909847,P0004607050,1,1099.0
179,2015-07-01 02:22:16,order,U411968430,P0000591931,2,499.0
180,2015-07-01 02:25:03,order,U415068375,P0021904680011,1,649.0
181,2015-07-01 02:26:31,order,U333330653,P0010814576,3,289.0
182,2015-07-01 02:26:41,order,U44573859,P0004509083,1,550.0
183,2015-07-01 02:31:14,order,U156954352,P0000268295,1,379.0
184,2015-07-01 02:34:00,order,U410834510,P0023690590,2,1180.0
185,2015-07-01 02:35:13,order,U347692466,P0005387572,1,799.0
186,2015-07-01 02:35:32,order,U375276314,P0018318252,1,1680.0
187,2015-07-01 02:39:05,order,U465176339,P0005416331,1,929.0
188,2015-07-01 02:40:22,order,U465176642,P0005681770010,1,1699.0
189,2015-07-01 02:40:25,order,U465176440,P0018940375,1,1680.0
190,2015-07-01 02:43:10,order,U465176541,P0018776240000,1,990.0
191,2015-07-01 02:45:32,order,U209457016,P0001375470036,2,199.0
192,2015-07-01 02:46:30,order,U436102351,P0003951533,1,369.0
193,2015-07-01 02:46:54,order,U465163868,P0022007860,1,1090.0
194,2015-07-01 02:47:17,order,U465178359,P0003848700085,1,750.0
195,2015-07-01 02:47:49,order,U367934453,P0000100295,2,430.0
196,2015-07-01 02:48:26,order,U31133432,P0023253650,1,699.0
197,2015-07-01 02:49:03,order,U465163868,P0013099866,1,539.0
198,2015-07-01 02:56:57,order,U209457016,P0018297570056,1,891.0
199,2015-07-01 02:58:32,order,U283968276,P0005591990014,1,199.0
200,2015-07-01 03:08:42,order,U465178460,P0023634531,1,610.0
201,2015-07-01 03:15:16,order,U413042366,P0004528930092,1,245.0
202,2015-07-01 03:21:07,order,U397040655,P0004509083,1,550.0
203,2015-07-01 03:22:42,order,U427615840,P0007143426,1,22000.0
204,2015-07-01 03:27:04,order,U29594235,P0020006110036,1,999.0
205,2015-07-01 03:30:23,order,U199388749,P0005546531,3,69.0
206,2015-07-01 03:34:44,order,U426130346,P0021960900010,1,6280.0
207,2015-07-01 03:35:14,order,U448630453,P0005739451,1,2680.0
208,2015-07-01 03:46:38,order,U187772075,P0022267125,5,19.0
209,2015-07-01 03:49:17,order,U464778363,P0006851260010,1,199.0
210,2015-07-01 03:52:51,order,U33660649,P0005416331,1,929.0
211,2015-07-01 03:57:45,order,U33660649,P0023627450,1,799.0
212,2015-07-01 04:02:48,order,U128302450,P0005471140006,1,850.0
213,2015-07-01 04:08:22,order,U465147761,P0018687910010,1,199.0
214,2015-07-01 04:10:49,order,U33660649,P0022903311,1,599.0
215,2015-07-01 04:15:10,order,U33660649,P0023528164,1,545.0
216,2015-07-01 04:18:11,order,U33660649,P0005416331,1,929.0
217,2015-07-01 04:21:29,order,U463406248,P0005969353,1,3897.0
218,2015-07-01 04:23:23,order,U465184645,P0023398675,1,1680.0
219,2015-07-01 04:25:32,order,U33660649,P0003848640073,1,599.0
220,2015-07-01 04:27:29,order,U465184746,P0004134266,1,1780.0
221,2015-07-01 04:32:02,order,U465184342,P0023705323,1,1170.0
222,2015-07-01 04:39:10,order,U321836876,P0023590810036,1,17990.0
223,2015-07-01 04:49:37,order,U465194365,P0005111940013,1,930.0
224,2015-07-01 04:57:45,order,U33660649,P0003848540076,1,690.0
225,2015-07-01 05:06:17,order,U10120328428,P0003603062,1,899.0
226,2015-07-01 05:09:17,order,U384793413,P0005860540,1,4199.0
227,2015-07-01 05:10:40,order,U464549710,P0024127110000,1,2880.0
228,2015-07-01 05:29:27,order,U384793413,P0005860540,1,4199.0
229,2015-07-01 05:30:09,order,U395564376,P0018456465,1,710.0
230,2015-07-01 05:38:33,order,U12623380,P0004215060006,1,1288.0
231,2015-07-01 05:41:29,order,U33660649,P0004204686,1,799.0
232,2015-07-01 05:48:42,order,U384793413,P0005860540,1,4199.0
233,2015-07-01 05:51:35,order,U10031177222,P0014591250026,1,790.0
234,2015-07-01 05:53:07,order,U1012010329,P0003731394,1,605.0
235,2015-07-01 05:55:29,order,U10031177222,P0023355883,1,980.0
236,2015-07-01 06:00:13,order,U422531820,P0000431292,1,600.0
237,2015-07-01 06:02:26,order,U463956911,P0006156301,1,890.0
238,2015-07-01 06:03:57,order,U46396438,P0022354301,1,990.0
239,2015-07-01 06:05:32,order,U463956810,P0022354301,1,990.0
240,2015-07-01 06:14:26,order,U302825475,P0014252055,1,1636.0
241,2015-07-01 06:17:21,order,U238282459,P0006243053,1,7880.0
242,2015-07-01 06:23:02,order,U384793413,P0023527870015,1,2180.0
243,2015-07-01 06:28:14,order,U384793413,P0023527870004,1,2180.0
244,2015-07-01 06:29:08,order,U238282459,P0006243053,1,7880.0
245,2015-07-01 06:29:42,order,U423338276,P0002848860,3,109.0
246,2015-07-01 06:41:46,order,U425876953,P0018699690004,1,855.0
247,2015-07-01 06:42:36,order,U461770313,P0021931453,1,450.0
248,2015-07-01 06:53:41,order,U465200348,P0001357263,1,699.0
249,2015-07-01 06:57:25,order,U327422329,P0006518256,1,6388.0
250,2015-07-01 07:00:59,order,U423338276,P0014616862,1,2188.0
251,2015-07-01 07:04:59,order,U46511080,P0023726054,1,2020.0
252,2015-07-01 07:05:39,order,U303006336,P0012778743,1,1380.0
253,2015-07-01 07:07:05,order,U43592032,P0011176373,1,790.0
254,2015-07-01 07:16:21,order,U311393050,P0023677356,1,399.0
255,2015-07-01 07:21:53,order,U238282459,P0009962260011,1,6280.0
256,2015-07-01 07:25:25,order,U44175692,P0023590674,1,891.0
257,2015-07-01 07:29:24,order,U238282459,P0023936463,1,690.0
258,2015-07-01 07:31:23,order,U303006336,P0009915662,1,1880.0
259,2015-07-01 07:34:12,order,U41143498,P0005772981,1,699.0
260,2015-07-01 07:36:17,order,U322416319,P0023251270000,1,990.0
261,2015-07-01 07:46:07,order,U222044371,P0009962260000,1,6280.0
262,2015-07-01 07:50:02,order,U222044371,P0009962260011,1,6280.0
263,2015-07-01 07:52:38,order,U399392310,P0013097276,3,420.0
264,2015-07-01 07:54:18,order,U465185756,P0009777784,1,1196.0
265,2015-07-01 07:57:43,order,U465208351,P0009777655,1,1245.0
266,2015-07-01 08:00:13,order,U465185857,P0006587250003,1,899.0
267,2015-07-01 08:01:44,order,U12695012,P0001907942,1,260.0
268,2015-07-01 08:02:32,order,U43536647,P0013141820005,1,990.0
269,2015-07-01 08:06:21,order,U338150449,P0012133610075,1,1332.0
270,2015-07-01 08:07:46,order,U339736346,P0006322864,1,800.0
271,2015-07-01 08:09:18,order,U327645831,P0001951316,1,850.0
272,2015-07-01 08:10:43,order,U465186261,P0021949443,1,899.0
273,2015-07-01 08:13:18,order,U300332517,P0002734804,1,17100.0
274,2015-07-01 08:13:49,order,U152988246,P0022846865,1,31900.0
275,2015-07-01 08:14:57,order,U426178364,P0003737274,1,729.0
276,2015-07-01 08:15:17,order,U46195435,P0012982841,1,888.0
277,2015-07-01 08:16:29,order,U338150449,P0012133620074,1,1332.0
278,2015-07-01 08:20:28,order,U465218374,P0021949443,1,899.0
279,2015-07-01 08:28:24,order,U448708463,P0006031653,1,3900.0
280,2015-07-01 08:28:50,order,U465212718,P0022827254,1,599.0
281,2015-07-01 08:32:26,order,U300321157,P0015194056,1,1080.0
282,2015-07-01 08:32:33,order,U46522630,P0022827254,1,599.0
283,2015-07-01 08:33:40,order,U147036550,P0022845281,1,799.0
284,2015-07-01 08:36:34,order,U37738470,P0005756026,1,719.0
285,2015-07-01 08:37:45,order,U123836248,P0003594695,1,550.0
286,2015-07-01 08:40:19,order,U10007027675,P0006587250003,1,899.0
287,2015-07-01 08:40:55,order,U465212415,P0021949443,1,899.0
288,2015-07-01 08:41:18,order,U327645831,P0023946650000,1,1049.0
289,2015-07-01 08:44:06,order,U310098339,P0019448936,1,27900.0
290,2015-07-01 08:44:10,order,U151188769,P0007078455,1,850.0
291,2015-07-01 08:45:20,order,U157360028,P0022069740,1,411.0
292,2015-07-01 08:51:00,order,U465220317,P0021949443,1,899.0
293,2015-07-01 08:52:29,order,U10104152849,P0021914670013,1,2094.0
294,2015-07-01 08:52:41,order,U179922240,P0001028403,1,941.0
295,2015-07-01 08:53:28,order,U10067736418,P0018875670004,1,8800.0
296,2015-07-01 08:55:45,order,U330102434,P0013332664,1,23891.0
297,2015-07-01 08:58:06,order,U40897043,P0014460310012,1,339.0
298,2015-07-01 09:01:33,order,U465222337,P0021949443,1,899.0
299,2015-07-01 09:02:49,order,U465017265,P0018377730044,1,1505.0
300,2015-07-01 09:03:33,order,U125716462,P0003988460,1,990.0
301,2015-07-01 09:03:40,order,U407717020,P0022845281,1,799.0
302,2015-07-01 09:03:59,order,U220946325,P0000445056,1,790.0
303,2015-07-01 09:04:40,order,U157360028,P0022843690026,1,2121.0
304,2015-07-01 09:04:50,order,U239246474,P0005570840004,1,99.0
305,2015-07-01 09:08:30,order,U324146472,P0009677544,1,799.0
306,2015-07-01 09:09:31,order,U465213829,P0016080046,1,250.0
307,2015-07-01 09:14:05,order,U364898330,P0024132452,1,21500.0
308,2015-07-01 09:14:37,order,U154519334,P0005150375,1,690.0
309,2015-07-01 09:22:12,order,U32588039,P0023941083,1,880.0
310,2015-07-01 09:22:56,order,U42310785,P0009541770,1,3899.0
311,2015-07-01 09:23:17,order,U423104448,P0016497655,1,21900.0
312,2015-07-01 09:23:49,order,U124590646,P0001639340032,1,390.0
313,2015-07-01 09:26:16,order,U338201016,P0024027050036,1,450.0
314,2015-07-01 09:26:44,order,U10078278526,P0022780280003,1,499.0
315,2015-07-01 09:28:19,order,U458550376,P0016383124,1,4880.0
316,2015-07-01 09:29:55,order,U454430371,P0012697140013,1,349.0
317,2015-07-01 09:30:06,order,U158644514,P0023726054,1,2020.0
318,2015-07-01 09:35:14,order,U465212819,P0018284464,1,699.0
319,2015-07-01 09:36:57,order,U422757948,P0014321790,1,44555.0
320,2015-07-01 09:37:32,order,U164150014,P0023884180040,1,2018.0
321,2015-07-01 09:38:26,order,U141844932,P0013081552,1,165.0
322,2015-07-01 09:39:02,order,U30092381,P0006463820005,1,249.0
323,2015-07-01 09:40:30,order,U156234414,P0011071250002,1,990.0
324,2015-07-01 09:41:05,order,U384240427,P0006882035,1,699.0
325,2015-07-01 09:43:00,order,U156234414,P0011071250013,1,990.0
326,2015-07-01 09:43:43,order,U13482018,P0003146861,1,480.0
327,2015-07-01 09:44:52,order,U191848328,P0019801051,1,599.0
328,2015-07-01 09:45:28,order,U436926352,P0018821880,2,1275.0
329,2015-07-01 09:46:53,order,U439875351,P0023397371,1,699.0
330,2015-07-01 09:48:11,order,U332196329,P0022534772,1,699.0
331,2015-07-01 09:50:18,order,U385396841,P0023932140024,1,1880.0
332,2015-07-01 09:50:37,order,U423892373,P0006221110,1,47900.0
333,2015-07-01 09:51:28,order,U430726438,P0023947490022,1,890.0
334,2015-07-01 09:51:52,order,U465244528,P0022827254,1,599.0
335,2015-07-01 09:53:16,order,U312140253,P0018771100036,1,1990.0
336,2015-07-01 09:54:21,order,U1004487407,P0018769704,1,890.0
337,2015-07-01 09:58:49,order,U376378424,P0006940452,1,980.0
338,2015-07-01 09:59:44,order,U136370030,P0005572394,1,888.0
339,2015-07-01 10:00:54,order,U46524236,P0000258742,1,750.0
340,2015-07-01 10:00:58,order,U161226337,P0013832674,1,390.0
341,2015-07-01 10:04:24,order,U464928424,P0004134266,1,1780.0
342,2015-07-01 10:05:49,order,U291944365,P0006221283,1,4090.0
343,2015-07-01 10:07:06,order,U454430371,P0018381660006,1,599.0
344,2015-07-01 10:09:05,order,U141714032,P0021960910016,1,6480.0
345,2015-07-01 10:09:17,order,U415840621,P0022827254,1,599.0
346,2015-07-01 10:09:21,order,U153951958,P0004466464,1,450.0
347,2015-07-01 10:09:40,order,U129174570,P0007353080,1,850.0
348,2015-07-01 10:12:59,order,U407554310,P0008974405,1,238.0
349,2015-07-01 10:13:02,order,U454430371,P0012914882,1,990.0
350,2015-07-01 10:13:19,order,U464917165,P0023907656,1,22200.0
351,2015-07-01 10:14:35,order,U141714032,P0018765150025,1,888.0
352,2015-07-01 10:15:13,order,U434817764,P0023449705,1,859.0
353,2015-07-01 10:15:17,order,U210982424,P0007296133,1,550.0
354,2015-07-01 10:15:50,order,U223478312,P0003775690015,1,999.0
355,2015-07-01 10:16:27,order,U46525039,P0022827254,1,599.0
356,2015-07-01 10:16:29,order,U407554310,P0006526483,1,474.0
357,2015-07-01 10:17:39,order,U209676959,P0013843056,1,780.0
358,2015-07-01 10:18:19,order,U303575631,P0004597655,1,3390.0
359,2015-07-01 10:18:34,order,U465241070,P0021880320,1,312.0
360,2015-07-01 10:18:37,order,U156137950,P0023587465,1,1180.0
361,2015-07-01 10:18:57,order,U17953331,P0002072873,1,799.0
362,2015-07-01 10:20:25,order,U149361546,P0009717680044,1,888.0
363,2015-07-01 10:20:50,order,U300073141,P0006063654,2,299.0
364,2015-07-01 10:22:57,order,U136392120,P0005716211,1,980.0
365,2015-07-01 10:23:11,order,U219184439,P0022827254,1,599.0
366,2015-07-01 10:23:19,order,U30364235,P0005188864,1,3290.0
367,2015-07-01 10:26:53,order,U446604949,P0002124942,1,980.0
368,2015-07-01 10:29:46,order,U45772661,P0007098870030,1,1099.0
369,2015-07-01 10:30:16,order,U22033638,P0018639703,1,1099.0
370,2015-07-01 10:30:46,order,U46524192,P0023953156,1,3888.0
371,2015-07-01 10:31:20,order,U10120291443,P0005923256,1,1889.0
372,2015-07-01 10:32:03,order,U355635028,P0018422666,1,3100.0
373,2015-07-01 10:33:32,order,U465254854,P0023525740,1,599.0
374,2015-07-01 10:33:34,order,U10096472010,P0004134266,1,1780.0
375,2015-07-01 10:35:47,order,U442248668,P0022270170042,1,199.0
376,2015-07-01 10:39:37,order,U445600616,P0005926701,2,69.0
377,2015-07-01 10:43:05,order,U462854373,P0019739333,1,197.0
378,2015-07-01 10:44:25,order,U331596335,P0009936630023,1,1478.0
379,2015-07-01 10:45:00,order,U36535048,P0021252850006,1,1580.0
380,2015-07-01 10:45:34,order,U367382376,P0006518256,1,6388.0
381,2015-07-01 10:47:46,order,U23531255,P0003848540076,1,690.0
382,2015-07-01 10:48:43,order,U46525732,P0014262860010,1,1280.0
383,2015-07-01 10:50:25,order,U10114121420,P0000931195,2,790.0
384,2015-07-01 10:50:28,order,U40727643,P0022245882,1,11800.0
385,2015-07-01 10:50:41,order,U23531255,P0003848540065,2,690.0
386,2015-07-01 10:50:59,order,U434817764,P0023729462,3,170.0
387,2015-07-01 10:51:37,order,U416067860,P0004607050,1,1099.0
388,2015-07-01 10:51:40,order,U1002243627,P0018879265,1,980.0
389,2015-07-01 10:52:10,order,U157928010,P0014221281,1,35350.0
390,2015-07-01 10:53:06,order,U334244933,P0021931453,1,450.0
391,2015-07-01 10:53:34,order,U46525732,P0006611780,2,739.0
392,2015-07-01 10:54:53,order,U465262453,P0024025536,1,999.0
393,2015-07-01 10:56:56,order,U223559049,P0018377790034,1,2218.0
394,2015-07-01 10:58:13,order,U465260433,P0000635961,1,670.0
395,2015-07-01 10:59:09,order,U200848113,P0023902650170,1,299.0
396,2015-07-01 10:59:20,order,U211121428,P0005926653,1,699.0
397,2015-07-01 10:59:39,order,U442248668,P0018708163,1,749.0
398,2015-07-01 11:01:28,order,U152432028,P0006173230,4,159.0
399,2015-07-01 11:02:01,order,U46525765,P0014559053,1,649.0
400,2015-07-01 11:02:22,order,U465182322,P0009938456,1,3850.0
401,2015-07-01 11:03:29,order,U200848113,P0023902650100,1,299.0
